exerciseId,name,gifUrl,targetMuscles,bodyParts,equipments,secondaryMuscles,instructions,Environment
2ORFMoR,hack calf raise,2ORFMoR.gif,['calves'],['lower legs'],['sled machine'],"['hamstrings', 'glutes']","['Step:1 Adjust the sled machine to a comfortable weight.', 'Step:2 Stand on the sled machine with your toes on the platform and your heels hanging off.', 'Step:3 Hold onto the handles for stability.', 'Step:4 Raise your heels as high as possible by pushing through the balls of your feet.', 'Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
2Qh2J1e,sled 45° leg press (side pov),2Qh2J1e.gif,['glutes'],['upper legs'],['sled machine'],"['quadriceps', 'hamstrings', 'calves']","['Step:1 Adjust the seat of the sled machine so that your knees are at a 90-degree angle when your feet are on the footplate.', 'Step:2 Sit on the sled machine with your back flat against the backrest and your feet shoulder-width apart on the footplate.', 'Step:3 Grip the handles on the sides of the seat for stability.', 'Step:4 Push against the footplate to extend your legs, straightening them completely.', 'Step:5 Pause for a moment at the top, then slowly bend your knees to lower the footplate back to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
3eGE2JC,dumbbell front raise,3eGE2JC.gif,['delts'],['shoulders'],['dumbbell'],"['biceps', 'trapezius']","['Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs.', 'Step:2 Keeping your arms straight, exhale and lift the dumbbells in front of you until they are at shoulder level.', 'Step:3 Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position.', 'Step:4 Repeat for the desired number of repetitions.']",Gym
3tAXPQ6,dumbbell over bench revers wrist curl,3tAXPQ6.gif,['forearms'],['lower arms'],['dumbbell'],"['biceps', 'brachialis']","['Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing down.', 'Step:2 Rest your forearms on the bench, allowing your wrists to hang off the edge.', 'Step:3 Slowly curl your wrists upward, bringing the dumbbells towards your body.', 'Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.', 'Step:5 Repeat for the desired number of repetitions.']",Gym
3TZduzM,barbell incline bench press,3TZduzM.gif,['pectorals'],['chest'],['barbell'],"['shoulders', 'triceps']","['Step:1 Set up an incline bench at a 45-degree angle.', 'Step:2 Lie down on the bench with your feet flat on the ground.', 'Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.', 'Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
3XFdb1Z,cable squatting curl,3XFdb1Z.gif,['biceps'],['upper arms'],['cable'],['forearms'],"['Step:1 Attach a cable handle to the lowest setting on a cable machine.', 'Step:2 Stand facing the machine with your feet shoulder-width apart.', 'Step:3 Hold the cable handle with an underhand grip, palms facing up, and arms fully extended.', 'Step:4 Lower your body into a squat position, keeping your back straight and knees behind your toes.', 'Step:5 As you squat down, curl the cable handle towards your shoulders, keeping your elbows close to your sides.', 'Step:6 Pause for a moment at the top of the curl, squeezing your biceps.', 'Step:7 Slowly lower the cable handle back to the starting position, fully extending your arms.', 'Step:8 Repeat for the desired number of repetitions.']",Gym
4dF3maG,dumbbell one arm hammer preacher curl,4dF3maG.gif,['biceps'],['upper arms'],['dumbbell'],['forearms'],"['Step:1 Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad.', 'Step:2 Hold the dumbbell with a neutral grip (palms facing your body).', 'Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder.', 'Step:4 Pause for a moment at the top, squeezing your biceps.', 'Step:5 Inhale and slowly lower the dumbbell back to the starting position.', 'Step:6 Repeat for the desired number of repetitions, then switch arms.']",Gym
4dUn2iv,barbell standing close grip curl,4dUn2iv.gif,['biceps'],['upper arms'],['barbell'],['forearms'],"['Step:1 Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together.', 'Step:2 Keep your elbows close to your torso and your upper arms stationary throughout the movement.', 'Step:3 Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.', 'Step:4 Hold the contracted position for a brief pause as you squeeze your biceps.', 'Step:5 Inhale as you slowly begin to bring the barbell back to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
5bpPTHv,kettlebell pistol squat,5bpPTHv.gif,['glutes'],['upper legs'],['kettlebell'],"['quadriceps', 'hamstrings', 'calves']","['Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in front of your chest with both hands.', 'Step:2 Lift your left foot off the ground and extend it forward, keeping it parallel to the ground.', 'Step:3 Slowly lower your body down into a squat position, keeping your right foot flat on the ground and your left leg extended.', 'Step:4 Pause for a moment at the bottom of the squat, then push through your right heel to return to the starting position.', 'Step:5 Repeat for the desired number of repetitions, then switch legs.']",Gym
05Cf2v8,impossible dips,05Cf2v8.gif,['triceps'],['upper arms'],['body weight'],"['chest', 'shoulders']","['Step:1 Position yourself between two parallel bars with your arms fully extended and your body suspended in the air.', 'Step:2 Bend your knees and cross your ankles.', 'Step:3 Lower your body by bending your elbows until your upper arms are parallel to the ground.', 'Step:4 Pause for a moment, then push yourself back up to the starting position by straightening your arms.', 'Step:5 Repeat for the desired number of repetitions.']",Home
5uFK1xr,barbell seated overhead triceps extension,5uFK1xr.gif,['triceps'],['upper arms'],['barbell'],['shoulders'],"['Step:1 Sit on a bench with your back straight and feet flat on the ground.', 'Step:2 Hold a barbell with an overhand grip, hands shoulder-width apart, and raise it overhead.', 'Step:3 Lower the barbell behind your head by bending your elbows, keeping your upper arms close to your head.', 'Step:4 Pause for a moment, then extend your arms to raise the barbell back to the starting position.', 'Step:5 Repeat for the desired number of repetitions.']",Gym
5v7KYld,smith incline bench press,5v7KYld.gif,['pectorals'],['chest'],['smith machine'],"['shoulders', 'triceps']","['Step:1 Adjust the bench to a 30-45 degree incline.', 'Step:2 Sit on the bench with your back flat against the pad and feet firmly on the ground.', 'Step:3 Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.', 'Step:4 Unrack the barbell and lower it slowly towards your upper chest, keeping your elbows slightly tucked in.', 'Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position, fully extending your arms.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
6bOA1Oi,weighted side bend (on stability ball),6bOA1Oi.gif,['abs'],['waist'],['weighted'],"['obliques', 'lower back']","['Step:1 Sit on a stability ball with your feet shoulder-width apart and flat on the ground.', 'Step:2 Hold a weight in one hand and place your other hand on your hip.', 'Step:3 Engage your core and slowly bend sideways towards the weighted side, keeping your back straight.', 'Step:4 Pause for a moment at the bottom, then slowly return to the starting position.', 'Step:5 Repeat for the desired number of repetitions, then switch sides.']",Gym
6cKQC5E,dumbbell one arm upright row,6cKQC5E.gif,['delts'],['shoulders'],['dumbbell'],"['traps', 'biceps']","['Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with an overhand grip.', ""Step:2 Let the dumbbell hang at arm's length in front of your thighs, with your palm facing your body."", 'Step:3 Keeping your back straight and your core engaged, exhale and lift the dumbbell straight up towards your chin, leading with your elbow.', 'Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position.', 'Step:5 Repeat for the desired number of repetitions, then switch to the other arm.']",Gym
6HiHHe0,barbell standing rocking leg calf raise,6HiHHe0.gif,['calves'],['lower legs'],['barbell'],"['hamstrings', 'quadriceps']","['Step:1 Stand with your feet shoulder-width apart and hold a barbell across your upper back.', 'Step:2 Raise your heels off the ground as high as possible, balancing on the balls of your feet.', 'Step:3 Slowly lower your heels back down to the starting position.', 'Step:4 Repeat for the desired number of repetitions.']",Gym
6kSxYnw,barbell wrist curl v. 2,6kSxYnw.gif,['forearms'],['lower arms'],['barbell'],"['biceps', 'brachialis']","['Step:1 Sit on a bench with your feet flat on the ground and your knees bent.', 'Step:2 Hold a barbell with an underhand grip, palms facing up, and your hands shoulder-width apart.', 'Step:3 Rest your forearms on your thighs, allowing your wrists to hang off the edge.', 'Step:4 Slowly curl your wrists upward, bringing the barbell towards your forearms.', 'Step:5 Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
6MfS53i,dumbbell lying single extension,6MfS53i.gif,['triceps'],['upper arms'],['dumbbell'],['shoulders'],"['Step:1 Lie flat on a bench with a dumbbell in one hand and your arm fully extended above your chest.', 'Step:2 Lower the dumbbell in a controlled manner towards your forehead, keeping your upper arm stationary.', 'Step:3 Pause briefly at the bottom of the movement, then extend your arm back to the starting position.', 'Step:4 Repeat for the desired number of repetitions, then switch arms.']",Gym
6sMAmNv,dumbbell reverse spider curl,6sMAmNv.gif,['biceps'],['upper arms'],['dumbbell'],['forearms'],"['Step:1 Stand up straight with a dumbbell in each hand, palms facing your body and arms fully extended.', 'Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.', 'Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level.', 'Step:4 Hold the contracted position for a brief pause as you squeeze your biceps.', 'Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
6sYyrRX,bent knee lying twist (male),6sYyrRX.gif,['glutes'],['upper legs'],['body weight'],"['obliques', 'hip flexors']","['Step:1 Lie flat on your back with your knees bent and feet flat on the ground.', 'Step:2 Extend your arms out to the sides, perpendicular to your body.', 'Step:3 Keeping your knees together, slowly lower them to one side, aiming to touch the ground with your knees.', 'Step:4 Pause for a moment, then engage your core and slowly lift your knees back to the starting position.', 'Step:5 Repeat the movement to the other side.', 'Step:6 Continue alternating sides for the desired number of repetitions.']",Home
7F1DVzn,lever front pulldown,7F1DVzn.gif,['lats'],['back'],['leverage machine'],"['biceps', 'rhomboids', 'rear deltoids']","['Step:1 Adjust the seat height and position yourself on the machine with your knees under the pads and your feet flat on the ground.', 'Step:2 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'Step:3 Sit upright with your chest lifted and your shoulders back, maintaining a slight arch in your lower back.', 'Step:4 Engage your lats and pull the handles down towards your chest, squeezing your shoulder blades together.', 'Step:5 Pause for a moment at the bottom of the movement, then slowly release the handles back to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
7I6LNUG,lever seated row,7I6LNUG.gif,['upper back'],['back'],['leverage machine'],"['biceps', 'forearms']","['Step:1 Adjust the seat height and footrests to a comfortable position.', 'Step:2 Sit on the machine with your chest against the pad and your feet on the footrests.', 'Step:3 Grasp the handles with an overhand grip, shoulder-width apart.', 'Step:4 Keep your back straight and your core engaged.', 'Step:5 Pull the handles towards your body, squeezing your shoulder blades together.', 'Step:6 Pause for a moment at the peak of the movement.', 'Step:7 Slowly release the handles and return to the starting position.', 'Step:8 Repeat for the desired number of repetitions.']",Gym
7inpWch,dumbbell standing concentration curl,7inpWch.gif,['biceps'],['upper arms'],['dumbbell'],['forearms'],"['Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards.', 'Step:2 Place your opposite hand on your thigh for support.', 'Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps.', 'Step:4 Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.', 'Step:5 Hold the contracted position for a brief pause as you squeeze your biceps.', 'Step:6 Inhale and slowly lower the dumbbell back to the starting position.', 'Step:7 Repeat for the desired number of repetitions, then switch arms.']",Gym
7saC5zz,cable decline fly,7saC5zz.gif,['pectorals'],['chest'],['cable'],"['shoulders', 'triceps']","['Step:1 Adjust the cable machine to a decline position.', 'Step:2 Stand facing away from the machine with your feet shoulder-width apart.', 'Step:3 Hold the handles with your palms facing forward and your arms extended straight out in front of you.', 'Step:4 Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion.', 'Step:5 Pause for a moment at the fully extended position, then slowly return to the starting position.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
7zdxRTl,smith leg press,7zdxRTl.gif,['glutes'],['upper legs'],['smith machine'],"['quadriceps', 'hamstrings', 'calves']","['Step:1 Adjust the seat and footplate of the smith machine to a comfortable position.', 'Step:2 Sit on the machine with your back against the backrest and your feet shoulder-width apart on the footplate.', 'Step:3 Grasp the handles or sides of the machine for stability.', 'Step:4 Push the footplate away from you by extending your legs, keeping your back against the backrest.', 'Step:5 Pause for a moment at the fully extended position.', 'Step:6 Slowly bend your knees and lower the footplate back towards you, returning to the starting position.', 'Step:7 Repeat for the desired number of repetitions.']",Gym
8eqjhOl,dumbbell palms in incline bench press,8eqjhOl.gif,['triceps'],['upper arms'],['dumbbell'],"['chest', 'shoulders']","['Step:1 Set up an incline bench at a 45-degree angle.', 'Step:2 Sit on the bench with your back against the backrest and feet flat on the ground.', 'Step:3 Hold a dumbbell in each hand with an overhand grip, palms facing inwards.', 'Step:4 Extend your arms straight up above your chest, keeping a slight bend in your elbows.', 'Step:5 Lower the dumbbells slowly towards your shoulders, keeping your elbows close to your body.', 'Step:6 Pause for a moment at the bottom, then press the dumbbells back up to the starting position.', 'Step:7 Repeat for the desired number of repetitions.']",Gym
8K0w2yA,assisted hanging knee raise with throw down,8K0w2yA.gif,['abs'],['waist'],['assisted'],"['hip flexors', 'lower back']","['Step:1 Hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'Step:2 Engage your core and lift your knees towards your chest, keeping your legs together.', 'Step:3 Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.', 'Step:4 Allow your legs to swing back up and repeat the movement for the desired number of repetitions.']",Gym
8oYqOt9,cable seated curl,8oYqOt9.gif,['biceps'],['upper arms'],['cable'],['forearms'],"['Step:1 Sit on a cable machine with your feet flat on the ground and your back straight.', 'Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and your arms fully extended.', 'Step:3 Keeping your upper arms stationary, exhale and curl the cable attachment towards your shoulders, contracting your biceps.', 'Step:4 Pause for a moment at the top of the movement, squeezing your biceps.', 'Step:5 Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms.', 'Step:6 Repeat for the desired number of repetitions.']",Gym
8ozhUIZ,barbell standing calf raise,8ozhUIZ.gif,['calves'],['lower legs'],['barbell'],"['hamstrings', 'glutes']","['Step:1 Stand with your feet shoulder-width apart and place a barbell across your upper back.', 'Step:2 Raise your heels off the ground as high as possible, using only your toes.', 'Step:3 Pause for a moment at the top, then slowly lower your heels back down to the starting position.', 'Step:4 Repeat for the desired number of repetitions.']",Gym
8urJS9b,weighted hyperextension (on stability ball),8urJS9b.gif,['spine'],['back'],['weighted'],"['glutes', 'hamstrings']","['Step:1 Position yourself face down on a stability ball with your hips resting on the ball and your feet against a wall for stability.', 'Step:2 Place your hands behind your head or cross them over your chest.', 'Step:3 Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line.', 'Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position.', 'Step:5 Repeat for the desired number of repetitions.']",Gym
new_run_01,Outdoor Running,None,['cardio'],['legs'],['body weight'],"['calves', 'glutes', 'hamstrings']","['Step:1 Start with a 5-minute warm-up walk.', 'Step:2 Begin running at a comfortable, steady pace.', 'Step:3 Keep your posture upright and gaze forward.', 'Step:4 Land mid-foot and keep your stride consistent.', 'Step:5 Cool down with a slower jog or walk.']",Home
8xUv4J7,cable seated crunch,8xUv4J7.gif,['abs'],['waist'],['cable'],['obliques'],"['Step:1 Sit on a cable machine with your feet flat on the ground and your knees bent.', 'Step:2 Hold the cable handle with both hands and position it behind your head.', 'Step:3 Engage your abs and slowly curl your upper body forward, bringing your chest towards your knees.', 'Step:4 Pause for a moment at the top, then slowly return to the starting position.', 'Step:5 Repeat for the desired number of repetitions.']",Gym
cardio_01,Badminton,None,['cardio'],['full body'],['racket'],['none'],"['Step:1 Grab a racket and find a partner.', 'Step:2 Play a match focusing on quick movements and swings.']",Gym
cardio_02,Football,None,['cardio'],['legs'],['football'],['none'],"['Step:1 Go to a field.', 'Step:2 Run and dribble the ball for sustained aerobic activity.']",Gym
cardio_03,Basketball,None,['cardio'],['full body'],['basketball'],['none'],"['Step:1 Practice shooting and dribbling.', 'Step:2 Play a full-court game for high intensity.']",Gym
cardio_04,Tennis,None,['cardio'],"['arms', 'legs']",['tennis racket'],['none'],"['Step:1 Practice serves and returns.', 'Step:2 Run across the court to hit the ball back.']",Gym
cardio_05,Volleyball,None,['cardio'],['full body'],['volleyball'],['none'],"['Step:1 Practice serving and spiking.', 'Step:2 Keep the ball in the air with teammates.']",Gym
cardio_06,Table Tennis,None,['cardio'],['arms'],['paddle'],['none'],"['Step:1 Stand at the table.', 'Step:2 React quickly to hit the ball back with high speed.']",Gym
cardio_07,Swimming,None,['cardio'],['full body'],['none'],['none'],"['Step:1 Jump into the pool.', 'Step:2 Swim laps using your preferred stroke (freestyle, breaststroke).']",Gym
cardio_08,Jumping Jacks,None,['cardio'],['full body'],['body weight'],['none'],"['Step:1 Stand with feet together.', 'Step:2 Jump while spreading legs and clapping hands above head.']",Home
cardio_09,High Knees,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Run in place.', 'Step:2 Lift your knees as high as possible towards your chest.']",Home
cardio_10,Burpees,None,['cardio'],['full body'],['body weight'],['none'],"['Step:1 Squat down.', 'Step:2 Kick feet back to plank, return to squat, and jump up.']",Home
cardio_11,Mountain Climbers,None,['cardio'],"['abs', 'legs']",['body weight'],['none'],"['Step:1 Start in plank position.', 'Step:2 Alternately bring knees toward chest quickly.']",Home
cardio_12,Butt Kicks,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Run in place.', 'Step:2 Kick your heels up to touch your glutes.']",Home
cardio_13,Shadow Boxing,None,['cardio'],['arms'],['body weight'],['none'],"['Step:1 Stand in boxing stance.', 'Step:2 Throw punches into the air with speed.']",Home
cardio_14,Lateral Shuffles,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Stay low in a half squat.', 'Step:2 Shuffle quickly side to side.']",Home
cardio_15,Squat Jumps,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Perform a regular squat.', 'Step:2 Jump up explosively from the bottom.']",Home
cardio_16,Plank Jacks,None,['cardio'],['abs'],['body weight'],['none'],"['Step:1 Start in plank.', 'Step:2 Jump feet out and in like a jumping jack.']",Home
cardio_17,Skaters,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Jump sideways to the right.', 'Step:2 Land on right foot and swing left leg behind.']",Home
cardio_18,Bear Crawls,None,['cardio'],['full body'],['body weight'],['none'],"['Step:1 Get on all fours.', 'Step:2 Crawl forward and backward keeping hips low.']",Home
cardio_19,Jump Rope,None,['cardio'],['legs'],['jump rope'],['none'],"['Step:1 Hold rope handles.', 'Step:2 Swing and jump over the rope repeatedly.']",Gym
cardio_20,Running in Place,None,['cardio'],['legs'],['body weight'],['none'],"['Step:1 Stand upright.', 'Step:2 Mimic running motion without moving forward.']",Home
cardio_21,Treadmill Running,None,['cardio'],['legs'],['treadmill'],['none'],"['Step:1 Step on treadmill.', 'Step:2 Run at a steady pace for the duration.']",Gym
cardio_22,Stationary Cycling,None,['cardio'],['legs'],['stationary bike'],['none'],"['Step:1 Sit on bike.', 'Step:2 Pedal at moderate to high resistance.']",Gym
cardio_23,Elliptical Trainer,None,['cardio'],['full body'],['elliptical machine'],['none'],"['Step:1 Step on pedals.', 'Step:2 Move legs and arms in synchronized motion.']",Gym
cardio_24,Rowing Machine,None,['cardio'],"['back', 'legs']",['rower'],['none'],"['Step:1 Sit and strap in.', 'Step:2 Pull handle back using legs and then arms.']",Gym
cardio_25,Stair Climber,None,['cardio'],"['legs', 'glutes']",['stair machine'],['none'],"['Step:1 Step onto machine.', 'Step:2 Climb the rotating stairs continuously.']",Gym
cardio_26,Battle Ropes,None,['cardio'],"['arms', 'shoulders']",['battle ropes'],['none'],"['Step:1 Grip both ropes.', 'Step:2 Create waves by moving arms up and down.']",Gym
cardio_27,Assault Bike,None,['cardio'],['full body'],['air bike'],['none'],"['Step:1 Sit and pedal.', 'Step:2 Push and pull handles as hard as possible.']",Gym
cardio_28,SkiErg,None,['cardio'],"['arms', 'abs']",['ski machine'],['none'],"['Step:1 Pull handles down.', 'Step:2 Mimic cross-country skiing motion.']",Gym
cardio_29,Box Jumps,None,['cardio'],['legs'],['plyo box'],['none'],"['Step:1 Stand before the box.', 'Step:2 Jump onto the box with both feet.']",Gym
cardio_30,Kettlebell Swings,None,['cardio'],"['glutes', 'back']",['kettlebell'],['none'],"['Step:1 Swing bell between legs.', 'Step:2 Snap hips forward to swing bell to chest height.']",Gym
home_01,bodyweight squat,,"['quads', 'legs']",['upper legs'],['body weight'],"['glutes', 'calves']","['Step:1 Stand with feet shoulder-width apart.', 'Step:2 Lower your hips as if sitting in a chair.', 'Step:3 Keep chest up and return to standing.']",Home
home_02,glute bridge,,"['glutes', 'hamstrings']","['waist', 'upper legs']",['body weight'],['abs'],"['Step:1 Lie on your back with knees bent.', 'Step:2 Lift your hips off the floor until knees, hips, and shoulders form a line.', 'Step:3 Squeeze glutes and lower down.']",Home
home_03,reverse lunge,,"['quads', 'glutes']",['upper legs'],['body weight'],"['hamstrings', 'calves']","['Step:1 Stand tall.', 'Step:2 Step one foot back and lower your hips until both knees are bent at 90 degrees.', 'Step:3 Push through the front heel to return.']",Home
home_04,single leg deadlift,,"['hamstrings', 'balance']",['upper legs'],['body weight'],"['glutes', 'lower back']","['Step:1 Stand on one leg.', 'Step:2 Hinge at your hips, extending your free leg behind you for balance.', 'Step:3 Return to standing using your hamstring.']",Home
home_05,standing calf raise,,['calves'],['lower legs'],"['body weight', 'stairs']",['none'],"['Step:1 Stand on the edge of a step.', 'Step:2 Lower your heels down, then raise them up as high as possible.']",Home
home_06,superman,,"['back', 'lower back']",['back'],['body weight'],"['glutes', 'shoulders']","['Step:1 Lie face down on the floor.', 'Step:2 Lift your arms and legs off the ground simultaneously.', 'Step:3 Hold and lower.']",Home
home_07,pike push up,,['shoulders'],['shoulders'],['body weight'],"['triceps', 'upper chest']","['Step:1 Start in a plank position, then lift your hips high to form an inverted V.', 'Step:2 Bend elbows to lower your head towards the floor.', 'Step:3 Push back up.']",Home
